Año;Mês;;TOTAL;Domestico;Comécio y Industria;Servicios Ayuntamiento
2017;     Septiembre  ;;6.602.160  ;4.477.055  ;1.629.761  ;495.344  
2017;     Octubre  ;;8.186.745  ;5.101.759  ;2.480.979  ;604.007  
2017;     Noviembre  ;;8.344.727  ;5.402.975  ;2.380.826  ;560.926  
2017;     Diciembre  ;;5.239.739  ;3.334.493  ;1.596.102  ;309.144  
2018;     Enero  ;;10.848.189  ;7.557.653  ;2.657.392  ;633.144  
2018;     Febrero  ;;7.124.294  ;5.092.392  ;1.722.559  ;309.343  
2018;     Marzo  ;;6.523.983  ;4.625.105  ;1.591.775  ;307.103  
2018;     Abril  ;;9.138.158  ;6.038.111  ;2.657.049  ;442.998  
2018;     Mayo  ;;8.037.141  ;5.466.117  ;2.087.520  ;483.504  
2018;     Junio  ;;7.411.635  ;4.997.033  ;2.105.153  ;309.449  
2018;     Julio  ;;9.187.078  ;5.938.794  ;2.570.611  ;677.673  
2018;     Agosto  ;;7.986.947  ;5.179.939  ;2.303.635  ;503.373  
2018;     Septiembre  ;;6.861.877  ;4.205.534  ;2.061.445  ;594.898  
2018;     Octubre  ;;8.869.929  ;5.175.324  ;2.969.263  ;725.342  
2018;     Noviembre  ;;8.332.423  ;5.665.724  ;2.230.179  ;436.520  
2018;     Diciembre  ;;5.021.740  ;3.330.502  ;1.430.058  ;261.180  
2019;     Enero  ;;10.658.083  ;7.587.581  ;2.585.155  ;485.347  
2019;     Febrero  ;;7.919.492  ;5.252.706  ;2.275.481  ;391.305  
2019;     Marzo  ;;7.265.019  ;5.492.365  ;1.494.329  ;278.325  
2019;     Abril  ;;7.331.519  ;4.681.250  ;2.242.197  ;408.072  
2019;     Mayo  ;;8.476.408  ;5.873.762  ;2.185.590  ;417.056  
2019;     Junio  ;;8.323.620  ;5.188.617  ;2.614.595  ;520.408  
2019;     Julio  ;;8.098.164  ;5.649.797  ;2.001.120  ;447.247  
2019;     Agosto  ;;8.284.145  ;5.242.090  ;2.535.973  ;506.082  
2019;     Septiembre  ;;6.536.750  ;3.987.299  ;2.048.941  ;500.510  
2019;     Octubre  ;;9.776.827  ;5.538.986  ;3.400.228  ;837.613  
2019;     Noviembre  ;;6.320.952  ;4.696.650  ;1.307.195  ;317.107  
2019;     Diciembre  ;;7.516.944  ;4.900.792  ;2.202.638  ;413.514  
2020;     Enero  ;;8.944.603  ;6.180.780  ;2.306.624  ;457.199  
2020;     Febrero  ;;7.696.485  ;5.184.353  ;2.157.494  ;354.638  
2020;     Marzo  ;;7.911.399  ;5.541.056  ;1.979.872  ;390.471  
2020;     Abril  ;;6.906.064  ;5.040.859  ;1.683.126  ;182.079  
2020;     Mayo  ;;7.258.870  ;5.976.195  ;1.123.139  ;159.536  
2020;     Junio  ;;7.295.800  ;5.884.721  ;1.060.912  ;350.167  
2020;     Julio  ;;8.281.594  ;6.482.466  ;1.261.794  ;537.334  
2020;     Agosto  ;;7.486.896  ;5.528.522  ;1.469.760  ;488.614  
2020;     Septiembre  ;;7.057.361  ;5.049.517  ;1.494.046  ;513.798  
2020;     Octubre  ;;7.139.875  ;4.904.937  ;1.643.100  ;591.838  
2020;     Noviembre  ;;7.986.732  ;5.930.446  ;1.580.709  ;475.577  
